Spike Times : 
9.8	10947
9.9	2868
10	11510
10.1	1666
10.2	2910
10.3	4660
10.3	5269
10.3	12063
10.4	1022
10.4	4948
10.4	6049
10.5	2419
10.5	5484
10.5	9557
10.6	3065
10.6	4407
10.6	5859
10.6	6313
10.6	8010
10.6	9834
10.6	9966
10.7	1376
10.7	2803
10.7	3088
10.7	10917
10.8	880
10.8	1861
10.8	1988
10.8	2290
10.8	3586
10.8	3940
10.8	5783
10.8	7138
10.8	8045
10.8	8853
10.8	9229
10.8	11511
10.8	12060
10.8	12136
10.9	598
10.9	3110
10.9	4595
10.9	5340
10.9	8865
10.9	10865
10.9	11143
10.9	12239
11	1368
11	1605
11	2211
11	3691
11	3822
11	3989
11	4414
11	4946
11	5559
11	5633
11	5700
11	6250
11	7219
11	7673
11	7854
11	8181
11	8436
11	9448
11	9512
11	10063
11	10178
11	10206
11	10751
11	11002
11	11115
11	12001
11	12497
11.1	616
11.1	4625
11.1	4743
11.1	5280
11.1	5300
11.1	6403
11.1	6508
11.1	7694
11.1	7997
11.1	8115
11.1	8456
11.1	8949
11.1	9055
11.1	9645
11.1	9969
11.1	10364
11.1	10644
11.1	11129
11.1	11662
11.1	12174
11.2	1120
11.2	1316
11.2	1356
11.2	1589
11.2	1906
11.2	2802
11.2	2933
11.2	3949
11.2	4278
11.2	4426
11.2	4747
11.2	4778
11.2	4975
11.2	5001
11.2	5289
11.2	7018
11.2	7924
11.2	8008
11.2	8092
11.2	8350
11.2	8437
11.2	8786
11.2	9234
11.2	9628
11.2	10368
11.2	10812
11.2	11088
11.2	11626
11.2	11723
11.3	100
11.3	943
11.3	1365
11.3	1419
11.3	1477
11.3	1775
11.3	1914
11.3	1957
11.3	2153
11.3	3096
11.3	3285
11.3	3687
11.3	5474
11.3	5508
11.3	6207
11.3	6611
11.3	6922
11.3	7247
11.3	7386
11.3	7513
11.3	8170
11.3	8282
11.3	8511
11.3	8749
11.3	8797
11.3	9687
11.3	9918
11.3	10001
11.3	10032
11.3	10388
11.3	10512
11.3	11846
11.3	12134
11.3	12258
11.4	13
11.4	602
11.4	980
11.4	1686
11.4	2252
11.4	2292
11.4	2596
11.4	2649
11.4	2878
11.4	2925
11.4	3314
11.4	3778
11.4	4031
11.4	4066
11.4	4096
11.4	4304
11.4	4382
11.4	4643
11.4	5632
11.4	6455
11.4	6706
11.4	6827
11.4	7268
11.4	7421
11.4	7777
11.4	7930
11.4	8108
11.4	8203
11.4	8404
11.4	8488
11.4	8558
11.4	9335
11.4	9368
11.4	9382
11.4	9860
11.4	10082
11.4	10321
11.4	11523
11.4	12051
11.4	12161
11.4	12353
11.4	12367
11.5	68
11.5	126
11.5	604
11.5	633
11.5	677
11.5	791
11.5	814
11.5	1110
11.5	1154
11.5	1300
11.5	1655
11.5	1993
11.5	2265
11.5	3448
11.5	3642
11.5	3648
11.5	3881
11.5	4879
11.5	4903
11.5	5272
11.5	5291
11.5	5601
11.5	5628
11.5	5855
